level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 2.0)","('lookback_window', 400)","('p-value', 0.05)",3742.8,0.75,0.16,0.99,0.16,0.07,-0.11,-0.23,0.01,-1.42,741.0,-0.00693,0.0,2.0,400,0.05
"('entry_threshold', 2.2)","('lookback_window', 300)","('p-value', 0.01)",1786.83,0.36,0.08,0.54,0.14,0.04,-0.12,-1.83,0.01,-0.66,849.0,-0.00042,0.0,2.2,300,0.01
"('entry_threshold', 2.4)","('lookback_window', 280)","('p-value', 0.01)",1213.03,0.24,0.05,0.4,0.13,0.03,-0.1,-0.66,0.0,-0.51,855.0,-0.00079,0.0,2.4,280,0.01
"('entry_threshold', 2.1)","('lookback_window', 280)","('p-value', 0.05)",3667.76,0.73,0.16,1.18,0.13,0.06,-0.09,-8.56,0.01,-1.68,825.0,-0.00019,0.0,2.1,280,0.05
"('entry_threshold', 2.5)","('lookback_window', 280)","('p-value', 0.01)",1215.69,0.24,0.05,0.4,0.13,0.03,-0.1,-0.67,0.0,-0.51,855.0,-0.00079,0.0,2.5,280,0.01
"('entry_threshold', 2.0)","('lookback_window', 300)","('p-value', 0.01)",2257.17,0.45,0.1,0.75,0.13,0.04,-0.08,21.39,0.01,-1.2,843.0,5e-05,0.0,2.0,300,0.01
"('entry_threshold', 2.0)","('lookback_window', 400)","('p-value', 0.1)",4655.59,0.93,0.2,1.65,0.12,0.07,-0.08,-0.1,0.02,-2.53,746.0,-0.02089,0.01,2.0,400,0.1
"('entry_threshold', 2.0)","('lookback_window', 280)","('p-value', 0.1)",6636.63,1.33,0.29,2.49,0.11,0.07,-0.05,-4.48,0.02,-5.21,831.0,-0.00064,0.0,2.0,280,0.1
"('entry_threshold', 2.3)","('lookback_window', 280)","('p-value', 0.01)",1009.97,0.2,0.04,0.4,0.11,0.03,-0.09,-0.58,0.0,-0.51,856.0,-0.00076,0.0,2.3,280,0.01
"('entry_threshold', 2.1)","('lookback_window', 380)","('p-value', 0.01)",1560.04,0.31,0.07,0.67,0.1,0.02,-0.05,-0.29,0.01,-1.25,770.0,-0.00233,0.0,2.1,380,0.01
"('entry_threshold', 2.1)","('lookback_window', 280)","('p-value', 0.1)",5497.17,1.1,0.24,2.37,0.1,0.05,-0.05,-1.7,0.02,-5.09,813.0,-0.0014,0.0,2.1,280,0.1
"('entry_threshold', 2.2)","('lookback_window', 280)","('p-value', 0.05)",2212.18,0.44,0.1,0.94,0.1,0.05,-0.05,-0.37,0.01,-1.77,813.0,-0.00261,0.0,2.2,280,0.05
"('entry_threshold', 2.0)","('lookback_window', 180)","('p-value', 0.1)",7558.29,1.51,0.33,3.51,0.09,0.06,-0.07,1.63,0.02,-4.43,945.0,0.002,0.0,2.0,180,0.1
"('entry_threshold', 2.2)","('lookback_window', 180)","('p-value', 0.1)",4026.47,0.81,0.17,2.37,0.07,0.04,-0.06,-0.55,0.01,-3.09,949.0,-0.00314,0.0,2.2,180,0.1
"('entry_threshold', 2.4)","('lookback_window', 300)","('p-value', 0.01)",665.61,0.13,0.03,0.39,0.07,0.02,-0.04,0.23,0.0,-0.66,690.0,0.00123,0.0,2.4,300,0.01
"('entry_threshold', 2.1)","('lookback_window', 360)","('p-value', 0.01)",735.04,0.15,0.03,0.57,0.06,0.01,-0.03,2.76,0.0,-1.27,794.0,0.00012,0.0,2.1,360,0.01
"('entry_threshold', 2.0)","('lookback_window', 380)","('p-value', 0.01)",711.11,0.14,0.03,0.67,0.05,0.01,-0.02,-0.12,0.0,-1.34,774.0,-0.00254,0.0,2.0,380,0.01
"('entry_threshold', 2.0)","('lookback_window', 360)","('p-value', 0.01)",501.51,0.1,0.02,0.57,0.04,0.01,-0.02,-4.16,0.0,-1.26,794.0,-5e-05,0.0,2.0,360,0.01
"('entry_threshold', 2.1)","('lookback_window', 340)","('p-value', 0.01)",440.65,0.09,0.02,0.56,0.03,0.01,-0.02,0.32,0.0,-0.81,814.0,0.0006,0.0,2.1,340,0.01
"('entry_threshold', 2.0)","('lookback_window', 360)","('p-value', 0.05)",521.67,0.1,0.02,1.19,0.02,0.01,-0.01,-0.07,0.0,-2.18,774.0,-0.00302,0.0,2.0,360,0.05
"('entry_threshold', 2.0)","('lookback_window', 280)","('p-value', 0.05)",443.86,0.09,0.02,1.26,0.02,0.01,-0.01,-0.68,0.0,-1.57,855.0,-0.00028,0.0,2.0,280,0.05
"('entry_threshold', 2.5)","('lookback_window', 220)","('p-value', 0.01)",-17.43,-0.0,-0.0,0.52,-0.0,-0.0,0.0,-0.01,-0.0,-0.87,899.0,0.00071,-0.0,2.5,220,0.01
"('entry_threshold', 2.0)","('lookback_window', 360)","('p-value', 0.1)",-162.45,-0.03,-0.01,1.62,-0.0,-0.0,0.0,0.01,-0.0,-2.45,788.0,-0.00541,0.0,2.0,360,0.1
"('entry_threshold', 2.2)","('lookback_window', 240)","('p-value', 0.05)",-501.41,-0.1,-0.02,1.47,-0.01,-0.01,0.01,-0.15,-0.0,-3.73,911.0,0.00144,-0.0,2.2,240,0.05
"('entry_threshold', 2.1)","('lookback_window', 180)","('p-value', 0.1)",-2966.47,-0.59,-0.13,2.97,-0.04,-0.02,0.03,-1.06,-0.01,-4.72,945.0,0.00122,-0.0,2.1,180,0.1
"('entry_threshold', 2.4)","('lookback_window', 220)","('p-value', 0.01)",-526.65,-0.11,-0.02,0.54,-0.04,-0.01,0.03,-0.25,-0.0,-0.87,899.0,0.00091,-0.0,2.4,220,0.01
"('entry_threshold', 2.0)","('lookback_window', 320)","('p-value', 0.05)",-1163.14,-0.23,-0.05,1.33,-0.04,-0.02,0.02,-0.36,-0.0,-2.48,839.0,0.0014,-0.0,2.0,320,0.05
"('entry_threshold', 2.2)","('lookback_window', 260)","('p-value', 0.05)",-1527.54,-0.31,-0.07,1.81,-0.04,-0.02,0.02,0.04,-0.01,-2.85,866.0,-0.01621,0.0,2.2,260,0.05
